hour,plug,value
120,5,4814.069999999959
120,6,3737.9119999999984
120,7,37395.635000000075
120,9,5766.284000000051
120,11,34239.98800000011
121,3,4.960999999999999
121,5,4747.22899999995
121,6,3695.454999999996
121,7,36352.34800000003
121,9,5657.32500000005
121,11,33442.3710000001
122,3,6.816
122,5,4840.1719999999605
122,6,3762.7049999999995
122,7,37818.75299999998
122,9,5826.0930000000435
122,11,34602.795000000115
123,3,3.74
123,5,4812.698999999964
123,6,3750.115000000003
123,7,37468.91200000007
123,9,5797.421000000036
123,11,34506.712000000036
124,3,5.555
124,5,4861.800999999961
124,6,3783.5999999999995
124,7,37891.07500000002
124,9,5803.115000000057
124,11,34720.672000000064
125,3,4.376
125,5,4807.033999999943
125,6,3755.0620000000067
125,7,37329.257
125,9,5810.745000000051
125,11,34215.0780000001
126,3,4.812
126,5,4850.888999999954
126,6,3786.5320000000033
126,7,37854.491000000075
126,9,5799.640000000039
126,11,34755.68700000009
127,3,4.125
127,5,4872.9339999999465
127,6,3798.2099999999996
127,7,37531.235
127,9,5746.319000000041
127,11,34441.61500000001
128,3,3.723
128,5,4827.199999999959
128,6,3741.6910000000007
128,7,37125.49500000001
128,9,5677.6250000000555
128,11,34014.409000000094
129,3,3.7390000000000008
129,5,4854.177999999964
129,6,3779.3939999999975
129,7,37882.77100000005
129,9,5704.838000000046
129,11,34612.498999999996
130,3,2.513
130,5,4888.281999999964
130,6,3793.6620000000016
130,7,37651.05200000007
130,9,5717.657000000051
130,11,34630.64400000013
131,3,4.827999999999999
131,5,4828.242999999953
131,6,3759.4169999999963
131,7,37519.48500000004
131,9,5725.9540000000425
131,11,34252.94600000005
132,3,2.524
132,5,4854.044999999961
132,6,3783.1160000000036
132,7,37111.909999999974
132,9,5763.669000000036
132,11,34172.124000000105
133,3,6.216
133,5,4894.8249999999625
133,6,3805.5759999999973
133,7,37068.86100000004
133,9,5684.705000000049
133,11,33968.22699999998
134,3,6.829000000000001
134,5,4889.585999999956
134,6,3803.8339999999985
134,7,37295.065999999955
134,9,5680.125000000044
